iter	Passed	Remaining
1024	97928	188691
1025	98020	188588
1026	98109	188481
1027	98209	188393
1028	98304	188298
1029	98398	188198
1030	98493	188102
1031	98570	187970
1032	98672	187887
1033	98772	187800
1034	98872	187714
1035	98971	187624
1036	99062	187521
1037	99158	187426
1038	99245	187315
1039	99341	187220
1040	99439	187128
1041	99538	187041
1042	99630	186937
1043	99729	186849
1044	99832	186767
1045	99932	186680
1046	100032	186592
1047	100127	186497
1048	100222	186401
1049	100312	186295
1050	100407	186198
1051	100500	186098
1052	100598	186006
1053	100694	185912
1054	100794	185825
1055	100896	185740
1056	100993	185648
1057	101089	185554
1058	101188	185465
1059	101279	185360
1060	101366	185248
1061	101460	185151
1062	101558	185059
1063	101648	184954
1064	101749	184868
1065	101843	184769
1066	101942	184681
1067	102036	184583
1068	102135	184494
1069	102229	184395
1070	102322	184295
1071	102423	184209
1072	102522	184119
1073	102610	184010
1074	102711	183924
1075	102797	183812
1076	102884	183701
1077	102984	183614
1078	103086	183529
1079	103179	183430
1080	103278	183340
1081	103365	183230
1082	103459	183132
1083	103552	183031
1084	103640	182923
1085	103745	182844
1086	103836	182740
1087	103930	182643
1088	104021	182538
1089	104112	182435
1090	104206	182338
1091	104298	182236
1092	104399	182149
1093	104495	182055
1094	104587	181954
1095	104688	181866
1096	104785	181773
1097	104878	181674
1098	104978	181587
1099	105069	181484
1100	105164	181386
1101	105250	181274
1102	105344	181176
1103	105464	181123
1104	105561	181031
1105	105666	180951
1106	105766	180862
1107	105858	180761
1108	105958	180674
1109	106058	180585
1110	106162	180505
1111	106260	180413
1112	106349	180307
1113	106448	180217
1114	106545	180123
1115	106650	180044
1116	106746	179949
1117	106840	179850
1118	106934	179753
1119	107020	179641
1120	107114	179542
1121	107202	179436
1122	107302	179346
1123	107398	179251
1124	107496	179160
1125	107591	179063
1126	107691	178975
1127	107784	178876
1128	107880	178781
1129	107971	178678
1130	108067	178583
1131	108168	178497
1132	108255	178387
1133	108345	178283
1134	108437	178181
1135	108539	178095
1136	108635	178001
1137	108731	177906
1138	108832	177819
1139	108924	177718
1140	109031	177641
1141	109129	177550
1142	109224	177454
1143	109320	177358
1144	109408	177251
1145	109503	177154
1146	109597	177057
1147	109697	176967
1148	109787	176863
1149	109882	176767
1150	109983	176681
1151	110082	176590
1152	110179	176497
1153	110268	176391
1154	110366	176300
1155	110461	176203
1156	110555	176104
1157	110651	176010
1158	110754	175926
1159	110852	175835
1160	110948	175739
1161	111039	175637
1162	111137	175545
1163	111240	175462
1164	111341	175374
1165	111436	175277
1166	111533	175185
1167	111632	175094
1168	111728	174999
1169	111819	174896
1170	111916	174804
1171	112010	174705
1172	112103	174606
1173	112197	174508
1174	112294	174414
1175	112386	174313
1176	112481	174217
1177	112581	174128
1178	112678	174035
1179	112780	173950
1180	112879	173859
1181	112957	173737
1182	113052	173640
1183	113141	173534
1184	113239	173442
1185	113327	173335
1186	113422	173239
1187	113517	173142
1188	113605	173035
1189	113703	172944
1190	113788	172832
1191	113883	172736
1192	113986	172651
1193	114086	172562
1194	114183	172470
1195	114277	172372
1196	114374	172278
1197	114469	172181
1198	114570	172094
1199	114676	172014
1200	114768	171914
1201	114865	171819
1202	114958	171721
1203	115068	171647
1204	115149	171530
1205	115244	171433
1206	115331	171324
1207	115425	171227
1208	115530	171146
1209	115624	171047
1210	115718	170950
1211	115822	170866
1212	115918	170772
1213	116010	170671
1214	116108	170579
1215	116195	170470
1216	116285	170367
1217	116380	170271
1218	116466	170161
1219	116558	170060
1220	116652	169962
1221	116753	169875
1222	116848	169778
1223	116949	169691
1224	117029	169574
1225	117124	169476
1226	117216	169377
1227	117310	169278
1228	117400	169175
1229	117490	169071
1230	117586	168977
1231	117676	168873
1232	117776	168783
1233	117874	168692
1234	117964	168588
1235	118067	168503
1236	118160	168405
1237	118262	168319
1238	118357	168221
1239	118452	168125
1240	118550	168034
1241	118649	167943
1242	118754	167861
1243	118852	167769
1244	118936	167657
1245	119032	167562
1246	119127	167466
1247	119218	167364
1248	119311	167265
1249	119398	167157
1250	119492	167060
1251	119579	166953
1252	119674	166856
1253	119767	166757
1254	119865	166665
1255	119953	166559
1256	120053	166470
1257	120156	166385
1258	120253	166291
1259	120349	166196
1260	120445	166101
1261	120539	166004
1262	120631	165904
1263	120730	165813
1264	120826	165719
1265	120918	165617
1266	121003	165508
1267	121099	165413
1268	121194	165317
1269	121286	165217
1270	121380	165120
1271	121471	165018
1272	121565	164919
1273	121665	164830
1274	121765	164741
1275	121861	164647
1276	121955	164548
1277	122050	164453
1278	122144	164356
1279	122239	164258
1280	122334	164163
1281	122434	164073
1282	122527	163974
1283	122624	163881
1284	122728	163797
1285	122821	163697
1286	122919	163606
1287	123015	163510
1288	123105	163409
1289	123190	163298
1290	123280	163196
1291	123370	163093
1292	123460	162990
1293	123558	162898
1294	123655	162805
1295	123753	162713
1296	123845	162613
1297	123943	162521
1298	124045	162433
1299	124139	162335
1300	124221	162223
1301	124321	162133
1302	124419	162040
1303	124532	161968
1304	124640	161889
1305	124736	161793
1306	124843	161713
1307	124938	161617
1308	125036	161525
1309	125133	161431
1310	125224	161330
1311	125319	161233
1312	125404	161125
1313	125500	161030
1314	125594	160932
1315	125689	160836
1316	125782	160738
1317	125878	160642
1318	125974	160548
1319	126074	160457
1320	126167	160359
1321	126270	160274
1322	126357	160167
1323	126455	160074
1324	126555	159985
1325	126643	159880
1326	126743	159790
1327	126845	159702
1328	126931	159595
1329	127026	159499
1330	127124	159406
1331	127227	159321
1332	127328	159231
1333	127424	159137
1334	127523	159046
1335	127614	158944
1336	127700	158837
1337	127797	158744
1338	127894	158649
1339	127987	158551
1340	128085	158458
1341	128181	158363
1342	128261	158249
1343	128356	158152
1344	128446	158051
1345	128541	157955
1346	128638	157861
1347	128742	157776
1348	128834	157677
1349	128926	157576
1350	129025	157485
1351	129113	157380
1352	129204	157280
1353	129299	157184
1354	129396	157089
1355	129495	156998
1356	129581	156891
1357	129675	156794
1358	129769	156697
1359	129867	156604
1360	129962	156509
1361	130057	156413
1362	130148	156311
1363	130243	156215
1364	130335	156115
1365	130434	156025
1366	130523	155921
1367	130610	155815
1368	130705	155720
1369	130794	155617
1370	130888	155519
1371	130976	155415
1372	131070	155318
1373	131175	155234
1374	131276	155144
1375	131372	155050
1376	131468	154955
1377	131561	154856
1378	131657	154762
1379	131753	154666
1380	131843	154565
1381	131940	154471
